Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,GTIN,MPN,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,clothing,,Matilda Jane Fall Leave Dress Size l,"<p>Matilda Jane Fall Leave dress for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-MATILDAJ-29,,,Size,L,,,,,24.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, matilda, dress",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Matilda%20Jane%20Fall%20leave%20dress%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Matilda%20Jane%20Fall%20leave%20dress%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Matilda%20Jane%20Fall%20leave%20dress.jpg"
,,PHYSICAL,clothing,,Mini Boden Floral Long Sleeve Shirt Size M,"<p>Mini Boden Floral long sleeve shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-MINIBODE-32,,,Size,M,,,,,16.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, mini, long sleeve shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20floral%20long%20sleeve%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20floral%20long%20sleeve%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20floral%20long%20sleeve.jpg"
,,PHYSICAL,clothing,,Mini Boden Unicorn Button-Up Shirt Size 8,"<p>Mini Boden Unicorn button-up shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-MINIBODE-33,,,Size,8,,,,,18.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, mini, button-up shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20unicorn%20button%20up%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20unicorn%20button%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/mini%20boden%20unicorn%20button%20up.jpg"
,,PHYSICAL,clothing,,Minus Zero Grey Zip-Up Size 4T,"<p>Minus Zero zip-up for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p><p><strong>Materials:</strong> 100% Polyester</p>",SC-MINUSZER-34,,,Size,4T,,,,,7.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, minus, zip-up",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/minus%20zero%20zip%20up%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/minus%20zero%20zip%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/minus%20zero%20zip%20up.jpg"
,,PHYSICAL,clothing,,The North Face Long Sleeve Zip-Up Size S,"<p>The North Face Long Sleeve zip-up for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-THENORTH-35,,,Size,S,,,,,22.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, the, zip-up",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/northface%20long%20sleeve%20zip%20up%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/northface%20long%20sleeve%20zip%20up%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/northface%20long%20sleeve%20zip%20up.jpg"
,,PHYSICAL,clothing,,Patagonia Overalls Size sM,"<p>Patagonia overalls for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-PATAGONI-36,,,Size,SM,,,,,32.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, patagonia, overalls",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/patagonia%20overalls%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/patagonia%20overalls%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/patagonia%20overalls.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Multicolor Plaid Long Sleeve Shirt Size 8,"<p>Ralph Lauren polo shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-42,,,Size,8,,,,,18.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, polo shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20Lauren%20polo%201.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%201%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20Lauren%20polo%201%20fabric%20tag.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Black Chiffon Sleeveless Dress Size 12,"<p>Ralph Lauren Black dress for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-43,,,Size,12,,,,,26.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, dress",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20lauren%20black%20dress%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20lauren%20black%20dress%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/Ralph%20lauren%20black%20dress.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Polo Shirt Size l,"<p>Ralph Lauren polo shirt for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-44,,,Size,L,,,,,18.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, polo shirt",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%202%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%202%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20polo%202.jpg"
,,PHYSICAL,clothing,,Ralph Lauren Prep Dress Size M,"<p>Ralph Lauren Prep dress for kids. Pre-owned in great condition, ready to wear.</p><p><strong>Condition:</strong> Pre-owned, good condition</p>",SC-RALPHLAU-45,,,Size,M,,,,,24.00,,No,Unlimited,Kids Clothing,"children, kids, preloved, ralph, dress",,,,,Yes,"https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20prep%20dress%20brand%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20prep%20dress%20fabric%20tag.jpg, https://gonzih.github.io/shelly-temp-banana-wardrobe-2026/images/ralph%20lauren%20prep%20dress.jpg"
